Id,SSN,Age,Salary,COVID Test Result,Pre-Existing Conditions,Recovery Time
0792,842-43-1886,25,88000,1,asthma,6
0118,880-64-2524,27,42000,1,high blood pressure,6
0825,172-73-2287,38,43000,1,none,4
0161,440-47-1644,56,88000,0,diabetes,0
0643,507-35-4387,49,98000,1,high blood pressure,5
0444,836-10-8360,18,53000,1,asthma,6
0991,535-61-2554,29,61000,1,diabetes,6
0324,808-40-8743,53,86000,0,none,0
0995,761-55-4860,21,90000,1,high blood pressure,5
0513,104-68-3700,42,99000,0,none,0
0944,010-40-6184,41,58000,1,high blood pressure,7
0510,026-47-7572,56,86000,1,diabetes,7
0031,670-74-7554,52,65000,1,high blood pressure,6
0718,745-12-2233,35,69000,1,high blood pressure,7
0136,750-82-3500,31,56000,0,none,0
0101,867-88-5361,32,76000,1,none,4
0583,685-71-0400,48,74000,1,high blood pressure,7
0641,488-08-1601,40,46000,1,diabetes,3
0541,351-23-3060,39,98000,1,high blood pressure,3
0884,138-34-2003,29,65000,1,none,3
0919,662-36-4065,26,48000,0,none,0
0819,356-51-1867,42,95000,1,high blood pressure,7
0166,368-18-6407,37,92000,1,none,2
0837,175-86-6785,26,46000,0,diabetes,0
0589,732-20-0351,28,86000,0,asthma,0
0577,774-55-7567,26,44000,1,none,6
0154,247-71-1463,49,57000,1,diabetes,4
0473,428-56-8067,48,83000,1,asthma,6
0014,048-44-4816,51,78000,1,asthma,5
0764,451-32-6430,32,69000,1,none,3
0703,415-57-6521,28,69000,0,none,0
0158,556-75-7763,20,82000,0,none,0
0105,473-75-1423,47,70000,1,high blood pressure,7
0655,456-70-3847,21,91000,1,none,4
0478,248-27-6601,24,48000,0,none,0
0983,300-46-6317,19,68000,0,none,0
0867,547-26-1511,33,90000,0,none,0
0292,214-87-8788,29,67000,1,none,2
0469,062-04-5236,42,43000,0,high blood pressure,0
0434,145-67-3260,49,43000,1,none,4
0090,688-74-0246,57,57000,1,none,4
0111,383-47-3460,54,75000,1,high blood pressure,5
0565,781-32-2074,32,50000,0,high blood pressure,0
0687,200-70-4261,33,74000,0,diabetes,0
0900,744-45-7385,33,80000,1,none,7
0303,423-55-6151,33,46000,0,diabetes,0
0840,053-05-6544,20,74000,0,none,0
0599,150-64-5667,55,78000,1,high blood pressure,5
0932,413-03-2714,42,102000,1,none,2
0244,114-24-5630,55,68000,0,diabetes,0
0295,001-40-0382,54,46000,0,diabetes,0
0210,342-01-0233,18,100000,1,none,4
0241,215-16-2380,36,60000,0,none,0
0736,242-53-1552,57,89000,1,diabetes,7
0129,255-68-4373,58,85000,0,asthma,0
0902,670-23-8863,40,50000,0,asthma,0
0616,214-86-4305,20,97000,0,none,0
0859,538-44-3015,26,60000,1,none,3
0225,268-68-8783,45,45000,1,asthma,3
0086,818-72-2217,19,78000,1,none,2
0471,273-46-7451,41,44000,1,high blood pressure,7
0713,863-41-8762,49,66000,1,diabetes,4
0672,200-16-4617,22,51000,1,none,3
0817,283-50-0134,37,78000,0,high blood pressure,0
0150,262-22-7548,20,59000,1,none,3
0951,264-57-2601,26,70000,0,none,0
0807,121-22-5254,21,67000,1,none,2
0369,835-10-1802,18,52000,1,none,3
0283,072-05-4132,46,91000,1,diabetes,7
0016,026-15-4240,18,95000,1,diabetes,7
0742,443-78-5623,22,88000,1,none,4
0085,207-32-6375,42,97000,1,diabetes,3
0352,544-20-8805,30,70000,0,none,0
0801,658-88-0275,51,81000,1,diabetes,3
0740,773-70-8355,56,53000,0,asthma,0
0607,045-37-3364,45,88000,1,asthma,5
0579,784-35-4675,39,70000,1,none,4
0509,808-35-5721,44,78000,1,diabetes,6
0337,414-42-7800,37,42000,0,none,0
0743,741-68-2388,20,55000,1,none,2
0800,688-71-1677,54,95000,1,high blood pressure,7
0727,510-64-0070,41,60000,1,none,2
0389,357-08-7500,49,77000,1,diabetes,6
0903,562-06-1855,38,47000,1,high blood pressure,6
0818,715-11-3647,41,86000,1,high blood pressure,5
0855,236-15-5258,54,88000,1,diabetes,7
0044,536-46-0481,34,64000,0,none,0
0869,060-41-0074,36,60000,0,none,0
0699,157-35-8147,56,101000,1,high blood pressure,7
0730,647-60-1372,31,71000,1,none,4
0842,658-45-1828,52,81000,1,high blood pressure,7
0662,645-78-5330,20,53000,0,none,0
0355,383-42-1400,32,78000,1,none,6
0961,870-74-7843,50,55000,1,high blood pressure,7
0751,568-84-4775,18,86000,0,none,0
0080,026-61-0402,37,57000,0,none,0
0909,404-77-5313,55,82000,1,high blood pressure,6
0631,453-33-3833,28,53000,0,none,0
0245,037-18-8368,33,56000,0,none,0
0861,615-27-3587,40,80000,1,diabetes,7
